week,function,acq,xi,kappa,candidate_pool,n_restarts_optimizer,lsb_low,lsb_high,noise_level
10,1,ucb,0.0100,2.8,150000,10,0.001,8.0,0.00001
10,2,ei,0.0015,2.0,160000,12,0.001,10.0,0.000001
10,3,ucb,0.0150,2.5,200000,14,0.001,12.0,0.000001
10,4,ucb,0.0100,2.6,220000,16,0.001,12.0,0.00001
10,5,ei,0.0005,2.0,180000,14,0.001,6.0,0.000001
10,6,ei,0.0050,2.2,240000,16,0.001,15.0,0.000001
10,7,ucb,0.0060,1.8,300000,18,0.001,20.0,0.00001
10,8,ei,0.0070,2.2,400000,20,0.001,25.0,0.00001
11,1,ucb,0.0100,2.8,150000,10,0.001,8.0,0.00001
11,2,ei,0.0015,2.0,160000,12,0.001,10.0,0.000001
11,3,ucb,0.0150,2.5,200000,14,0.001,12.0,0.000001
11,4,ucb,0.0100,2.6,220000,16,0.001,12.0,0.00001
11,5,ei,0.0005,2.0,180000,14,0.001,6.0,0.000001
11,6,ei,0.0050,2.2,240000,16,0.001,15.0,0.000001
11,7,ucb,0.0060,1.8,300000,18,0.001,20.0,0.00001
11,8,ei,0.0070,2.2,400000,20,0.001,25.0,0.00001
12,1,ucb,0.0100,3.1,180000,10,0.001,10.0,0.00001
12,2,ei,0.0010,2.0,180000,12,0.001,10.0,0.000001
12,3,ucb,0.0150,2.8,240000,14,0.001,15.0,0.000001
12,4,ucb,0.0100,2.3,240000,16,0.001,12.0,0.00001
12,5,ucb,0.0020,2.4,240000,16,0.001,8.0,0.000001
12,6,ei,0.0035,2.2,260000,16,0.001,15.0,0.000001
12,7,ucb,0.0060,2.0,320000,18,0.001,20.0,0.00001
12,8,ei,0.0045,2.2,450000,22,0.001,25.0,0.00001
